Filename,Z,MTF1,MTF2,MTF3,MTF4,MTF5,MTF6,MTF7,MTF8,MTF9
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.200.bmp,6.2,0.017305442,0.029917599,0.018800122,0.024026481,0.018441729,0.019913226,0.070244375,0.043704459,0.032942041
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.210.bmp,6.21,0.019216713,0.017642267,0.030467432,0.015113663,0.039489295,0.035154146,0.052935228,0.036508105,0.063797757
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.220.bmp,6.22,0.018397103,0.01388494,0.034042256,0.019231874,0.023856553,0.028107303,0.076148471,0.03507786,0.0613032
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.230.bmp,6.23,0.014414134,0.026621446,0.016647586,0.022888143,0.036766856,0.018550452,0.069228655,0.037681421,0.013422135
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.240.bmp,6.24,0.019157981,0.020756365,0.018217418,0.022293702,0.038327368,0.02304872,0.029212611,0.051809074,0.040809893
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.250.bmp,6.25,0.012990063,0.025733412,0.030548413,0.014343157,0.023386566,0.028012168,0.07037015,0.044426086,0.032685156
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.260.bmp,6.26,0.013330975,0.007323286,0.01546791,0.023882699,0.036119057,0.009200892,0.06296431,0.030307082,0.039400524
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.270.bmp,6.27,0.014334632,0.016773678,0.022049969,0.014434926,0.03177023,0.0151258,0.047331156,0.054654234,0.042321133
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.280.bmp,6.28,0.013493443,0.037582373,0.034675462,0.022119825,0.041689664,0.005768625,0.031775739,0.037642388,0.028430007
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.290.bmp,6.29,0.021978894,0.03042543,0.015105745,0.042614665,0.035665858,0.034725152,0.11451532,0.039437153,0.038486766
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.300.bmp,6.3,0.014178995,0.026515862,0.036540947,0.03199177,0.040135216,0.051539351,0.056326377,0.04989455,0.039074108
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.310.bmp,6.31,0.026533529,0.019389426,0.018377241,0.037861661,0.031910157,0.037475489,0.043450904,0.035970547,0.03330249
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.320.bmp,6.32,0.027069135,0.03734913,0.034877254,0.042557145,0.038975647,0.029114903,0.025963562,0.035446272,0.030061309
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.330.bmp,6.33,0.041357024,0.048770492,0.025254624,0.036683783,0.035113966,0.041989393,0.0101104,0.018263436,0.043693847
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.340.bmp,6.34,0.023760237,0.045050197,0.03338485,0.044773838,0.022724757,0.044423743,0.0219645,0.04170233,0.055102017
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.350.bmp,6.35,0.029375828,0.049099172,0.03059422,0.036145141,0.047000263,0.050656375,0.019152433,0.04361517,0.043298123
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.360.bmp,6.36,0.042638143,0.050629996,0.046108356,0.039913237,0.031371142,0.04385895,0.023714427,0.035924882,0.044639
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.370.bmp,6.37,0.033213253,0.061686074,0.054812042,0.030774876,0.035588294,0.054614721,0.014176049,0.034248678,0.043330464
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.380.bmp,6.38,0.024483138,0.037890001,0.046310214,0.033598134,0.043768727,0.052988242,0.038880967,0.031445277,0.044269682
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.390.bmp,6.39,0.027744576,0.057957783,0.060511404,0.022358919,0.046851192,0.049787791,0.037055257,0.021209046,0.036865549
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.400.bmp,6.4,0.030709699,0.023972177,0.065421758,0.009479577,0.04251672,0.041309324,0.029140166,0.025984645,0.039672989
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.410.bmp,6.41,0.028606458,0.015706025,0.056251156,0.025555654,0.017526799,0.034811512,0.047749538,0.009856807,0.023324779
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.420.bmp,6.42,0.026383888,0.051498745,0.043355705,0.012491197,0.021148431,0.029713903,0.041304774,0.014683357,0.021966734
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.430.bmp,6.43,0.021555291,0.031462734,0.04866381,0.015176428,0.016754394,0.021773597,0.072001758,0.016720134,0.05386341
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.440.bmp,6.44,0.017888158,0.053787391,0.053364289,0.012650336,0.01406473,0.022206394,0.07833432,0.018760737,0.057558907
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.450.bmp,6.45,0.010941565,0.047444094,0.055064136,0.014859972,0.009786164,0.013457862,0.051272451,0.025903651,0.035795507
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.460.bmp,6.46,0.007625712,0.048737555,0.035778094,0.01236707,0.031051432,0.008834674,0.047748232,0.023802196,0.040004862
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.470.bmp,6.47,0.03360807,0.030542822,0.023270855,0.017391482,0.013665395,0.018106919,0.060220525,0.017172656,0.01851777
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.480.bmp,6.48,0.023405715,0.032618773,0.019633509,0.017695934,0.02949141,0.005194632,0.042499858,0.020781105,0.026425475
product_OSE024_L1_bis_halfmoon_withAperture_july9_2024Z_6.490.bmp,6.49,0.028208012,0.026720749,0.023105732,0.017125101,0.021458039,0.015439018,0.04584878,0.028515689,0.034680103
